Release_Year,Genres,Media,Total_Releases
1974,,Movie,658
1974,,TV Series,60
1974,,Video Game,2
1974,Action,Movie,393
1974,Action,TV Series,25
1974,Action,Video Game,8
1974,Adult,Movie,189
1974,Adventure,Movie,196
1974,Adventure,TV Series,38
1974,Animation,Movie,19
1974,Animation,TV Series,31
1974,Biography,Movie,31
1974,Biography,TV Series,2
1974,Comedy,Movie,623
1974,Comedy,TV Series,141
1974,Crime,Movie,288
1974,Crime,TV Series,38
1974,Documentary,Movie,276
1974,Documentary,TV Series,29
1974,Drama,Movie,1244
1974,Drama,TV Series,162
1974,Family,Movie,110
1974,Family,TV Series,103
1974,Family,Video Game,2
1974,Fantasy,Movie,82
1974,Fantasy,TV Series,13
1974,Game-Show,TV Series,22
1974,History,Movie,43
1974,History,TV Series,9
1974,Horror,Movie,143
1974,Horror,TV Series,10
1974,Music,Movie,26
1974,Music,TV Series,43
1974,Musical,Movie,74
1974,Musical,TV Series,10
1974,Mystery,Movie,56
1974,Mystery,TV Series,15
1974,News,TV Series,15
1974,Reality-TV,TV Series,1
1974,Romance,Movie,278
1974,Romance,TV Series,30
1974,Sci-Fi,Movie,37
1974,Sci-Fi,TV Series,10
1974,Sci-Fi,Video Game,3
1974,Short,TV Series,4
1974,Sport,Movie,15
1974,Sport,TV Series,12
1974,Sport,Video Game,29
1974,Talk-Show,TV Series,20
1974,Thriller,Movie,161
1974,Thriller,TV Series,11
1974,War,Movie,57
1974,War,TV Series,6
1974,Western,Movie,34
1974,Western,TV Series,2
1975,,Movie,775
1975,,TV Series,87
1975,,Video Game,18
1975,Action,Movie,304
1975,Action,TV Series,15
1975,Action,Video Game,31
1975,Adult,Movie,279
1975,Adventure,Movie,197
1975,Adventure,TV Series,39
1975,Animation,Movie,20
1975,Animation,TV Series,45
1975,Biography,Movie,41
1975,Biography,TV Series,1
1975,Comedy,Movie,688
1975,Comedy,TV Series,142
1975,Crime,Movie,254
1975,Crime,TV Series,24
1975,Documentary,Movie,325
1975,Documentary,TV Series,30
1975,Drama,Movie,1170
1975,Drama,TV Series,141
1975,Family,Movie,93
1975,Family,TV Series,93
1975,Family,Video Game,62
1975,Fantasy,Movie,50
1975,Fantasy,TV Series,10
1975,Fantasy,Video Game,4
1975,Game-Show,TV Series,29
1975,Game-Show,Video Game,1
1975,History,Movie,45
1975,History,TV Series,7
1975,Horror,Movie,126
1975,Horror,TV Series,6
1975,Music,Movie,39
1975,Music,TV Series,45
1975,Musical,Movie,71
1975,Musical,TV Series,5
1975,Mystery,Movie,78
1975,Mystery,TV Series,10
1975,News,TV Series,20
1975,Reality-TV,Movie,1
1975,Reality-TV,TV Series,3
1975,Romance,Movie,229
1975,Romance,TV Series,28
1975,Sci-Fi,Movie,37
1975,Sci-Fi,TV Series,15
1975,Sci-Fi,Video Game,3
1975,Short,TV Series,5
1975,Sport,Movie,10
1975,Sport,TV Series,11
1975,Sport,Video Game,40
1975,Talk-Show,TV Series,26
1975,Thriller,Movie,143
1975,Thriller,TV Series,3
1975,Thriller,Video Game,2
1975,War,Movie,74
